"IdServiceInstance","ExternalCode","MetaISCode","ServiceName","ServiceType","ExtId","InstitutionName","ValidFrom","ValidTo","ServiceUrl","ServiceInfoURL","LastUpdated","FormURL"
"2088","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30810787","Úrad priemyselného vlastníctva Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2088","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2089","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/17331927","Ústredný inšpektorát Slovenskej obchodnej inšpekcie","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2089","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2090","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/31797903","Úrad pre verejné obstarávanie","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2090","","2022-11-12 06:04:20","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2091","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00603201","Mestská časť Bratislava - Petržalka (OVM)","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2091","","2020-11-10 06:17:15","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2095","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/35937874_10001","Všeobecná zdravotná poisťovňa, a.s. (OVM)","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2095","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2096","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/35698446_10001","SK-NIC, a.s. (OVM)","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2096","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2098","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/36284831_10001","Union zdravotná poisťovňa,a.s. (OVM)","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2098","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2103","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30811236","Notárska komora Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2103","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2104","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/36063606","Bratislavský samosprávny kraj","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2104","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2111","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30844151","Rada pre mediálne služby","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2111","","2022-08-19 05:03:47","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2112","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30844878","Najvyšší kontrolný úrad SR","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2112","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2113","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00699063","Protimonopolný úrad SR, Bratislava","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2113","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2114","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30844185","Úrad jadrového dozoru Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2114","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2115","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00156906","Slovenská inšpekcia životného prostredia - ústredie","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2115","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2116","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30796482","Úrad pre dohľad nad zdravotnou starostlivosťou","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2116","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2118","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30845157","Kancelária prezidenta Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2118","","2021-01-16 06:07:21","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2119","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/37808427","Žilinský samosprávny kraj","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2119","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
