"IdServiceInstance","ExternalCode","MetaISCode","ServiceName","ServiceType","ExtId","InstitutionName","ValidFrom","ValidTo","ServiceUrl","ServiceInfoURL","LastUpdated","FormURL"
"2082","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/42156424","Národná agentúra pre sieťové a elektronické služby","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2082","","2021-02-13 06:08:47","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2083","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00151866","Ministerstvo vnútra Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2083","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2084","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00166073","Ministerstvo spravodlivosti Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2084","","2023-02-09 06:04:17","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2085","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00151513","Úrad vlády Slovenskej republiky","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2085","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2105","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/50119231","Antidopingová agentúra SR, Bratislava","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2105","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2106","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/37828100","Banskobystrický samosprávny kraj","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2106","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2107","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/30797764","Agentúra na podporu výskumu a vývoja","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2107","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2108","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/00151882","Centrum vedecko-technických informácií SR","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2108","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2109","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/36069841","Úrad pre reguláciu sieťových odvetví","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2109","","2022-06-28 05:03:46","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
"2110","App.GeneralAgenda","","Všeobecná agenda","Formulárové služby","ico://sk/37977997","Ústav pamäti národa","2014-01-01","2099-01-01","https://schranka.slovensko.sk/FormConstructor/Default.aspx?IdService=2110","","2020-05-13 10:59:27","http://schemas.gov.sk/form/App.GeneralAgenda/1.9"
